asset_id,ward,suggested_name,osm_name,osm_name_ja,distance_m
RA-ATSU-0008,Atsuta-ku,あつたハピネス通り,あつたハピネス通り,,48.9
RA-ATSU-0009,Atsuta-ku,あつたハピネス通り,あつたハピネス通り,,41.8
RA-ATSU-0010,Atsuta-ku,あつたハピネス通り,あつたハピネス通り,,41.7
RA-ATSU-0011,Atsuta-ku,あつたハピネス通り,あつたハピネス通り,,44.0
RA-ATSU-0012,Atsuta-ku,あつたハピネス通り,あつたハピネス通り,,41.3
RA-ATSU-0013,Atsuta-ku,あつたハピネス通り,あつたハピネス通り,,39.7
RA-ATSU-0014,Atsuta-ku,あつたハピネス通り,あつたハピネス通り,,39.7
RA-ATSU-0019,Atsuta-ku,あつたハピネス通り,あつたハピネス通り,,47.0
RA-ATSU-0020,Atsuta-ku,あつたハピネス通り,あつたハピネス通り,,51.2
RA-ATSU-0021,Atsuta-ku,大津通,大津通,大津通,38.0
RA-ATSU-0042,Atsuta-ku,江川線,江川線,江川線,53.9
RA-ATSU-0056,Atsuta-ku,国道1号,国道1号,国道1号,53.7
RA-ATSU-0086,Atsuta-ku,八熊通,八熊通,八熊通,52.5
RA-ATSU-0101,Atsuta-ku,山手グリーンロード,山手グリーンロード,,53.9
RA-ATSU-0105,Atsuta-ku,ひので橋,ひので橋,,45.6
RA-ATSU-0121,Atsuta-ku,大津通,大津通,大津通,50.5
RA-ATSU-0124,Atsuta-ku,旧東海道,旧東海道,,44.0
RA-ATSU-0136,Atsuta-ku,旧東海道,旧東海道,,38.2
RA-ATSU-0165,Atsuta-ku,白鳥プロムナード,白鳥プロムナード,,52.1
RA-ATSU-0175,Atsuta-ku,国道1号,国道1号,国道1号,52.4
RA-ATSU-0181,Atsuta-ku,江川線,江川線,江川線,46.3
RA-ATSU-0186,Atsuta-ku,新尾頭金山線,新尾頭金山線,,49.1
RA-ATSU-0187,Atsuta-ku,八熊通,八熊通,八熊通,48.4
RA-ATSU-0196,Atsuta-ku,旧東海道,旧東海道,,36.8
RA-ATSU-0203,Atsuta-ku,国道1号,国道1号,国道1号,58.0
RA-ATSU-0205,Atsuta-ku,国道1号,国道1号,国道1号,58.6
RA-ATSU-0229,Atsuta-ku,豆田町線,豆田町線,豆田町線,57.6
RA-ATSU-0241,Atsuta-ku,八熊通,八熊通,八熊通,50.9
RA-ATSU-0250,Atsuta-ku,西川端金山町線,西川端金山町線,西川端金山町線,40.6
RA-ATSU-0258,Atsuta-ku,西川端金山町線,西川端金山町線,西川端金山町線,58.7
RA-ATSU-0265,Atsuta-ku,八熊通,八熊通,八熊通,60.0
RA-ATSU-0268,Atsuta-ku,西川端金山町線,西川端金山町線,西川端金山町線,38.6
RA-ATSU-0271,Atsuta-ku,あつたハピネス通り,あつたハピネス通り,,59.2
RA-ATSU-0272,Atsuta-ku,あつたハピネス通り,あつたハピネス通り,,38.6
RA-ATSU-0280,Atsuta-ku,江川線,江川線,江川線,41.2
RA-ATSU-0310,Atsuta-ku,名古屋高速4号東海線,名古屋高速4号東海線,名古屋高速4号東海線,39.5
RA-ATSU-0327,Atsuta-ku,江川線,江川線,江川線,44.6
RA-ATSU-0352,Atsuta-ku,大津通,大津通,大津通,48.2
RA-ATSU-0354,Atsuta-ku,大津通,大津通,大津通,42.4
RA-ATSU-0358,Atsuta-ku,大津通,大津通,大津通,42.4
RA-ATSU-0361,Atsuta-ku,大津通,大津通,大津通,47.5
RA-ATSU-0362,Atsuta-ku,大津通,大津通,大津通,42.4
RA-ATSU-0363,Atsuta-ku,大津通,大津通,大津通,45.5
RA-ATSU-0365,Atsuta-ku,神宮前歩道橋,神宮前歩道橋,神宮前歩道橋,35.6
RA-ATSU-0412,Atsuta-ku,大瀬子歩道橋,大瀬子歩道橋,大瀬子歩道橋,41.2
RA-ATSU-0414,Atsuta-ku,堀川千年プロムナード,堀川千年プロムナード,,59.3
